n,elapsed_time,FLOPs
2,0,inf
3,0,inf
4,0,inf
5,0,inf
6,0,inf
7,0,inf
8,0,inf
9,0,inf
10,0,inf
11,0,inf
12,0,inf
13,0,inf
14,0,inf
15,0,inf
16,0,inf
17,0,inf
18,0,inf
19,0,inf
20,0,inf
21,0,inf
22,0,inf
23,0,inf
24,0,inf
25,0,inf
26,1,5.512e+09
27,1,5.94e+09
28,1,6.384e+09
29,1,6.844e+09
30,1,7.32e+09
31,1,7.812e+09
32,1,8.32e+09
33,1,8.844e+09
34,2,4.692e+09
35,1,9.94e+09
36,1,1.0512e+10
37,1,1.11e+10
38,1,1.1704e+10
39,1,1.2324e+10
40,2,6.48e+09
41,2,6.806e+09
42,2,7.14e+09
43,2,7.482e+09
44,2,7.832e+09
45,2,8.19e+09
46,2,8.556e+09
47,2,8.93e+09
48,3,6.208e+09
49,3,6.468e+09
50,3,6.73333e+09
51,3,7.004e+09
52,4,5.46e+09
53,3,7.56133e+09
54,3,7.848e+09
55,3,8.14e+09
56,4,6.328e+09
57,4,6.555e+09
58,5,5.4288e+09
59,4,7.021e+09
60,4,7.26e+09
61,4,7.503e+09
62,4,7.75e+09
63,4,8.001e+09
64,5,6.6048e+09
65,5,6.812e+09
66,5,7.0224e+09
67,5,7.236e+09
68,5,7.4528e+09
69,5,7.6728e+09
70,6,6.58e+09
71,7,5.80171e+09
72,7,5.96571e+09
73,7,6.132e+09
74,7,6.30057e+09
75,7,6.47143e+09
76,10,4.6512e+09
77,9,5.30444e+09
78,7,6.99771e+09
79,9,5.58267e+09
80,9,5.72444e+09
81,10,5.2812e+09
82,10,5.412e+09
83,10,5.5444e+09
84,10,5.6784e+09
85,11,5.28545e+09
86,11,5.41018e+09
87,13,4.68462e+09
88,11,5.664e+09
89,11,5.79309e+09
90,12,5.43e+09
91,12,5.551e+09
92,12,5.67333e+09
93,13,5.35108e+09
94,13,5.46646e+09
95,13,5.58308e+09
96,15,4.9408e+09
97,12,6.305e+09
98,13,5.94031e+09
99,14,5.62886e+09
100,14,5.74286e+09
101,14,5.858e+09
102,15,5.576e+09
103,15,5.6856e+09
104,15,5.79627e+09
105,15,5.908e+09
106,16,5.6445e+09
107,16,5.75125e+09
108,16,5.859e+09
109,17,5.61671e+09
110,17,5.72e+09
111,18,5.50067e+09
112,18,5.6e+09
113,18,5.70022e+09
114,18,5.80133e+09
115,19,5.59263e+09
116,19,5.69011e+09
117,20,5.499e+09
118,20,5.5932e+09
119,21,5.41733e+09
120,21,5.50857e+09
121,21,5.60057e+09
122,21,5.69333e+09
123,22,5.52382e+09
124,22,5.61382e+09
125,22,5.70455e+09
126,23,5.544e+09
127,23,5.63217e+09
128,24,5.48267e+09
129,24,5.5685e+09
130,24,5.655e+09
131,25,5.51248e+09
132,25,5.5968e+09
133,26,5.46323e+09
134,26,5.54554e+09
135,27,5.42e+09
136,27,5.50044e+09
137,27,5.58148e+09
138,28,5.46086e+09
139,28,5.54014e+09
140,29,5.42621e+09
141,31,5.14877e+09
142,31,5.22194e+09
143,32,5.13012e+09
144,33,5.04436e+09
145,32,5.27438e+09
146,33,5.18521e+09
147,32,5.42062e+09
148,33,5.328e+09
149,34,5.24129e+09
150,33,5.47273e+09
151,37,4.94627e+09
152,34,5.45412e+09
153,35,5.36811e+09
154,36,5.28733e+09
155,38,5.07421e+09
156,38,5.13979e+09
157,39,5.07231e+09
158,38,5.27221e+09
159,39,5.20215e+09
160,39,5.26769e+09
161,39,5.33364e+09
162,40,5.265e+09
163,41,5.2001e+09
164,45,4.79609e+09
165,41,5.32829e+09
166,41,5.39298e+09
167,42,5.3281e+09
168,43,5.2666e+09
169,43,5.3294e+09
170,44,5.27e+09
171,45,5.2136e+09
172,45,5.27467e+09
173,45,5.33609e+09
174,46,5.28052e+09
175,46,5.3413e+09
176,47,5.28749e+09
177,48,5.23625e+09
178,49,5.18743e+09
179,49,5.2458e+09
180,50,5.1984e+09
181,50,5.25624e+09
182,51,5.2102e+09
183,51,5.26753e+09
184,52,5.22277e+09
185,52,5.27962e+09
186,57,4.86863e+09
187,54,5.19444e+09
188,55,5.15462e+09
189,58,4.94007e+09
190,56,5.17071e+09
191,56,5.22521e+09
192,57,5.18737e+09
193,57,5.24147e+09
194,58,5.20455e+09
195,58,5.25828e+09
196,59,5.22224e+09
197,60,5.18767e+09
198,60,5.2404e+09
199,61,5.20662e+09
200,62,5.17419e+09
201,63,5.14305e+09
202,63,5.19429e+09
203,64,5.16381e+09
204,66,5.05673e+09
205,65,5.18492e+09
206,66,5.15624e+09
207,66,5.20636e+09
208,67,5.17827e+09
209,68,5.15124e+09
210,68,5.20059e+09
211,69,5.17409e+09
212,70,5.14857e+09
213,71,5.124e+09
214,72,5.10033e+09
215,72,5.14806e+09
216,73,5.12482e+09
217,73,5.17233e+09
218,75,5.08085e+09
219,77,4.99434e+09
220,76,5.10632e+09
221,81,4.83472e+09
222,77,5.13195e+09
223,78,5.11185e+09
224,78,5.15774e+09
225,79,5.13797e+09
226,80,5.1189e+09
227,81,5.10049e+09
228,82,5.08273e+09
229,82,5.12737e+09
230,85,4.98965e+09
231,84,5.093e+09
232,85,5.07671e+09
233,85,5.12052e+09
234,86,5.10447e+09
235,87,5.08897e+09
236,88,5.074e+09
237,90,5.00333e+09
238,89,5.10229e+09
239,90,5.08804e+09
240,91,5.07429e+09
241,91,5.11662e+09
242,93,5.04817e+09
243,95,4.98278e+09
244,98,4.87004e+09
245,95,5.06505e+09
246,96,5.05325e+09
247,96,5.09438e+09
248,98,5.03086e+09
249,98,5.07147e+09
250,103,4.86408e+09
251,100,5.05012e+09
252,100,5.0904e+09
253,102,5.03024e+09
254,102,5.07004e+09
255,103,5.06039e+09
256,105,5.00297e+09
257,105,5.0421e+09
258,105,5.08137e+09
259,108,4.97856e+09
260,108,5.01704e+09
261,108,5.05567e+09
262,110,5.00182e+09
263,111,4.99463e+09
264,111,5.03265e+09
265,114,4.93737e+09
266,113,5.01869e+09
267,113,5.05646e+09
268,114,5.04968e+09
269,115,5.04317e+09
270,116,5.0369e+09
271,118,4.98824e+09
272,118,5.02508e+09
273,119,5.01953e+09
274,120,5.0142e+09
275,121,5.00909e+09
276,122,5.0042e+09
277,123,4.99951e+09
278,123,5.03564e+09
279,124,5.031e+09
280,125,5.02656e+09
281,127,4.98277e+09
282,128,4.97906e+09
283,128,5.01441e+09
284,129,5.01073e+09
285,130,5.00723e+09
286,131,5.00391e+09
287,134,4.92612e+09
288,135,4.92373e+09
289,134,4.99496e+09
290,135,4.9923e+09
291,136,4.98979e+09
292,137,4.98745e+09
293,137,5.02164e+09
294,139,4.98319e+09
295,140,4.98129e+09
296,142,4.94445e+09
297,142,4.97789e+09
298,143,4.97639e+09
299,143,5.00982e+09
300,145,4.97379e+09
301,145,5.00698e+09
302,150,4.87227e+09
303,147,5.00465e+09
304,148,5.00368e+09
305,149,5.00282e+09
306,151,4.96895e+09
307,151,5.00146e+09
308,152,5.00095e+09
309,238,3.21464e+09
310,228,3.37737e+09
311,157,4.93638e+09
312,158,4.93671e+09
313,158,4.96838e+09
314,160,4.93765e+09
315,161,4.93826e+09
316,162,4.93896e+09
317,171,4.70865e+09
318,163,4.97094e+09
319,164,4.97173e+09
320,166,4.94265e+09
321,166,4.97357e+09
322,167,4.97461e+09
323,169,4.9463e+09
324,169,4.97695e+09
325,172,4.92035e+09
326,172,4.95065e+09
327,172,4.98105e+09
328,174,4.95393e+09
329,175,4.95568e+09
330,178,4.9018e+09
331,177,4.95939e+09
332,178,4.96135e+09
333,180,4.9358e+09
334,180,4.96547e+09
335,181,4.96762e+09
336,183,4.94269e+09
337,184,4.94511e+09
338,181,5.05693e+09
339,183,5.03128e+09
340,183,5.06098e+09
341,184,5.06311e+09
342,187,5.01112e+09
343,188,5.01364e+09
344,188,5.04289e+09
345,190,5.01884e+09
346,190,5.04796e+09
347,191,5.05058e+09
348,193,5.02707e+09
349,193,5.05598e+09
350,196,5.00714e+09
351,196,5.03578e+09
352,197,5.03878e+09
353,198,5.04184e+09
354,200,5.01972e+09
355,205,4.92498e+09
356,205,4.95274e+09
357,208,4.90875e+09
358,209,4.91265e+09
359,209,4.94011e+09
360,211,4.92057e+09
361,211,4.94792e+09
362,213,4.92864e+09
363,215,4.90979e+09
364,215,4.93686e+09
365,218,4.89569e+09
366,218,4.92253e+09
367,219,4.92685e+09
368,220,4.9312e+09
369,223,4.89132e+09
370,222,4.94e+09
371,224,4.92238e+09
372,226,4.90513e+09
373,226,4.93152e+09
374,229,4.89303e+09
375,232,4.8556e+09
376,230,4.92397e+09
377,232,4.9075e+09
378,233,4.91238e+09
379,234,4.91728e+09
380,235,4.92221e+09
381,238,4.88576e+09
382,239,4.89088e+09
383,240,4.89602e+09
384,236,5.00502e+09
385,236,5.0311e+09
386,240,4.97297e+09
387,240,4.99875e+09
388,240,5.0246e+09
389,242,5.00878e+09
390,243,5.01383e+09
391,247,4.95794e+09
392,246,5.00358e+09
393,248,4.98856e+09
394,249,4.99383e+09
395,249,5.0192e+09
396,250,5.02445e+09
397,252,5.00976e+09
398,253,5.01511e+09
399,255,5.0008e+09
400,259,4.94826e+09
401,257,5.01172e+09
402,259,4.99784e+09
403,259,5.02272e+09
404,265,4.93337e+09
405,264,4.97659e+09
406,265,4.98231e+09
407,270,4.91415e+09
408,267,4.9938e+09
409,267,5.01829e+09
410,269,5.00535e+09
411,270,5.01116e+09
412,274,4.96204e+09
413,273,5.00441e+09
414,275,4.99209e+09
415,275,5.01622e+09
416,278,4.98601e+09
417,282,4.93894e+09
418,281,4.9803e+09
419,281,5.00414e+09
420,283,4.99251e+09
421,285,4.98109e+09
422,286,4.98727e+09
423,292,4.90796e+09
424,293,4.91435e+09
425,289,5.00588e+09
426,292,4.97778e+09
427,293,4.9841e+09
428,295,4.97351e+09
429,295,4.99676e+09
430,299,4.95291e+09
431,298,4.99266e+09
432,300,4.9824e+09
433,300,5.00548e+09
434,303,4.97883e+09
435,308,4.92058e+09
436,306,4.97553e+09
437,313,4.88658e+09
438,310,4.95646e+09
439,311,4.9631e+09
440,312,4.96974e+09
441,314,4.96055e+09
442,315,4.96724e+09
443,316,4.97394e+09
444,319,4.94942e+09
445,320,4.95619e+09
446,322,4.94755e+09
447,323,4.95437e+09
448,324,4.96119e+09
449,324,4.98335e+09
450,338,4.79822e+09
451,327,4.98169e+09
452,332,4.92843e+09
453,329,4.99539e+09
454,333,4.95719e+09
455,334,4.96413e+09
456,338,4.92696e+09
457,336,4.97804e+09
458,342,4.91212e+09
459,341,4.94805e+09
460,341,4.96962e+09
461,342,4.97664e+09
462,346,4.94046e+09
463,345,4.97624e+09
464,348,4.95467e+09
465,347,4.99037e+09
466,353,4.92666e+09
467,352,4.96188e+09
468,354,4.95498e+09
469,354,4.97617e+09
