n,elapsed_time,FLOPs
252,12919,6.30439e+08
253,13031,6.29986e+08
254,13119,6.30711e+08
255,13227,6.30492e+08
256,13323,6.30863e+08
257,13465,6.29092e+08
258,13730,6.21756e+08
259,13643,6.30576e+08
260,13757,6.30184e+08
261,14785,5.90882e+08
262,13977,6.29835e+08
263,13993,6.33922e+08
264,14300,6.25034e+08
265,14565,6.18315e+08
266,14370,6.3144e+08
267,14502,6.30401e+08
268,14614,6.3026e+08
269,14749,6.29156e+08
270,14848,6.29612e+08
271,14952,6.29868e+08
272,15074,6.29386e+08
273,15180,6.29591e+08
274,15255,6.31089e+08
275,15323,6.32879e+08
276,15249,6.40579e+08
277,15364,6.40396e+08
278,15432,6.42181e+08
279,15521,6.43097e+08
280,15757,6.3801e+08
281,16065,6.30252e+08
282,16190,6.29841e+08
283,16370,6.27337e+08
284,16341,6.32895e+08
285,16561,6.2889e+08
286,16379,6.40344e+08
287,16509,6.39748e+08
288,16613,6.40177e+08
289,16780,6.38211e+08
290,16843,6.40228e+08
291,16999,6.38731e+08
292,17110,6.38953e+08
293,17213,6.39483e+08
294,17351,6.38731e+08
295,17589,6.34378e+08
296,18101,6.20617e+08
297,17825,6.34489e+08
298,17808,6.39375e+08
299,18341,6.24964e+08
300,18054,6.39149e+08
301,18205,6.38077e+08
302,18515,6.31566e+08
303,18683,6.30035e+08
304,18515,6.39952e+08
305,18654,6.39365e+08
306,18756,6.40061e+08
307,18865,6.40526e+08
308,18972,6.41066e+08
309,19098,6.40975e+08
310,19264,6.39568e+08
311,19347,6.40936e+08
312,19480,6.40657e+08
313,19651,6.39156e+08
314,19912,6.34812e+08
315,20137,6.31721e+08
316,20376,6.28278e+08
317,21076,6.11258e+08
318,20603,6.2924e+08
319,20745,6.28866e+08
320,21000,6.25128e+08
321,21018,6.28499e+08
322,21127,6.29155e+08
323,22198,6.02522e+08
324,21382,6.29392e+08
325,21496,6.29922e+08
326,21630,6.29875e+08
327,21724,6.31e+08
328,21844,6.31374e+08
329,23412,5.92683e+08
330,21903,6.3737e+08
331,22012,6.38061e+08
332,22361,6.319e+08
333,22561,6.30074e+08
334,22719,6.29453e+08
335,22828,6.30202e+08
336,22992,6.29445e+08
337,23082,6.30725e+08
