n,elapsed_time,FLOPs
502,206767,3.67463e+09
504,205954,3.73339e+09
506,205450,3.78726e+09
508,219673,3.58421e+09
510,728248,1.09398e+09
512,220211,3.66055e+09
514,219864,3.70944e+09
516,233899,3.52771e+09
518,242782,3.43829e+09
520,243215,3.47207e+09
522,250197,3.41426e+09
524,256144,3.37346e+09
526,360063,2.42741e+09
528,265741,3.32664e+09
530,269310,3.31998e+09
532,273068,3.31149e+09
534,285779,3.20001e+09
536,283303,3.26437e+09
538,290246,3.22207e+09
540,284933,3.31888e+09
542,382085,2.50259e+09
544,301752,3.20403e+09
546,312184,3.13124e+09
548,321873,3.07047e+09
550,330805,3.02038e+09
552,326008,3.09837e+09
554,333839,3.05869e+09
556,332130,3.10783e+09
558,433529,2.40672e+09
560,352576,2.99123e+09
562,354909,3.00351e+09
564,357783,3.0113e+09
566,388571,2.80229e+09
568,384756,2.86018e+09
570,374499,2.96965e+09
572,371192,3.02775e+09
574,451020,2.51808e+09
576,375720,3.05444e+09
578,392318,2.95578e+09
580,394556,2.96962e+09
582,419046,2.82508e+09
584,406302,2.94383e+09
586,416533,2.90112e+09
588,416785,2.92914e+09
590,511813,2.4097e+09
592,428134,2.91007e+09
594,442146,2.84649e+09
596,432108,2.94213e+09
598,478008,2.68647e+09
600,455563,2.8472e+09
602,465714,2.81308e+09
604,459381,2.88037e+09
606,546355,2.44598e+09
608,471505,2.86242e+09
610,489809,2.78272e+09
612,455496,3.02187e+09
614,506626,2.74361e+09
616,497811,2.81956e+09
618,508080,2.78956e+09
620,512782,2.7909e+09
622,606757,2.38153e+09
624,498728,2.92543e+09
626,531573,2.77114e+09
628,515669,2.88406e+09
630,553412,2.71312e+09
632,529777,2.86123e+09
634,543975,2.81308e+09
636,547749,2.82022e+09
638,654739,2.38169e+09
640,555696,2.83265e+09
642,565480,2.80981e+09
644,571180,2.80784e+09
646,593620,2.72694e+09
648,586946,2.78364e+09
650,590024,2.79483e+09
652,604484,2.75323e+09
654,711536,2.36058e+09
656,610339,2.7773e+09
658,622879,2.74635e+09
660,620364,2.78269e+09
662,662560,2.62923e+09
664,626364,2.80644e+09
666,630849,2.81174e+09
668,652723,2.74206e+09
670,748807,2.41174e+09
672,643396,2.83207e+09
674,658010,2.79396e+09
676,668841,2.77325e+09
678,685090,2.73157e+09
680,641453,2.94329e+09
682,675111,2.82129e+09
684,681655,2.81885e+09
686,824821,2.35007e+09
688,698990,2.79744e+09
690,702901,2.8062e+09
692,711705,2.79565e+09
694,733667,2.73554e+09
696,710025,2.85113e+09
698,744979,2.74084e+09
700,742911,2.77216e+09
702,849039,2.44649e+09
704,754195,2.77775e+09
706,766739,2.75566e+09
708,771509,2.76196e+09
710,793241,2.70911e+09
712,782786,2.76855e+09
714,786748,2.77788e+09
716,781806,2.819e+09
718,922484,2.40917e+09
720,804274,2.78642e+09
722,829944,2.72279e+09
724,806285,2.82604e+09
726,841652,2.72978e+09
728,817846,2.83251e+09
730,830321,2.81301e+09
732,831618,2.83176e+09
734,964033,2.46288e+09
736,848027,2.82273e+09
738,858246,2.81192e+09
740,858874,2.83276e+09
742,896095,2.73717e+09
744,873980,2.82918e+09
746,888455,2.80558e+09
748,891088,2.81985e+09
750,1.04256e+06,2.42953e+09
752,903409,2.82624e+09
754,916271,2.80885e+09
756,917338,2.82797e+09
758,957353,2.73132e+09
760,930223,2.83329e+09
762,945065,2.81086e+09
764,945810,2.83082e+09
766,1.93168e+06,1.39697e+09
768,984986,2.76113e+09
770,977123,2.80515e+09
772,981464,2.81456e+09
774,1.03846e+06,2.68081e+09
776,1.00862e+06,2.78156e+09
778,1.01552e+06,2.78408e+09
