blocksize,elapsed_time,FLOPs
1,64936,6.30775e+08
2,62856,6.51648e+08
4,71121,5.7592e+08
8,62143,6.59125e+08
16,61532,6.6567e+08
32,60257,6.79755e+08
64,58712,6.97643e+08
